"export-plots data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 14:47:15:557 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","45","250","""RCP4.5""","500","1100","1","30","4","1","90","""Repeat Historical""","200","0.03","0","8","2","30","125","25","8","1350","125","42","1","30","0.03"

"""Ag Net Income"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","-86000","221000","true","""Corn""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"
"""US$0""","true","2","1","13","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG""",,,,"""US$0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"75","0","42.5","true","75","0","24","true","75","0","53","true","75","0","32","true"
"76","0","42.5","true","76","0","24","true","76","0","53","true","76","0","32","true"
"77","0","42.5","true","77","0","24","true","77","0","53","true","77","0","32","true"
"78","0","42.5","true","78","0","24","true","78","0","53","true","78","0","32","true"
"79","0","42.5","true","79","0","24","true","79","0","53","true","79","0","32","true"
"80","0","42.5","true","80","0","24","true","80","0","53","true","80","0","32","true"
"81","0","42.5","true","81","0","24","true","81","0","53","true","81","0","32","true"
"82","0","42.5","true","82","0","24","true","82","0","53","true","82","0","32","true"
"83","0","42.5","true","83","0","24","true","83","0","53","true","83","0","32","true"
"84","0","42.5","true","84","0","24","true","84","0","53","true","84","0","32","true"
"85","24","42.5","true","85","18","24","true","85","0","53","true","85","16","32","true"
"86","18","42.5","true","86","15","24","true","86","0","53","true","86","14","32","true"
"87","13","42.5","true","87","10","24","true","87","0","53","true","87","9","32","true"
"88","7","42.5","true","88","12","24","true","88","0","53","true","88","7","32","true"
"89","4","42.5","true","89","12","24","true","89","0","53","true","89","8","32","true"
"""Crop Production"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","276","true","""Corn""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true"
"1","213","42.5","true","1","77","24","true","1","0","53","true","1","119","32","true"
"2","251","42.5","true","2","70","24","true","2","0","53","true","2","130","32","true"
"3","206","42.5","true","3","65","24","true","3","0","53","true","3","85","32","true"
"4","144","42.5","true","4","68","24","true","4","0","53","true","4","68","32","true"
"5","168","42.5","true","5","67","24","true","5","0","53","true","5","95","32","true"
"6","205","42.5","true","6","71","24","true","6","0","53","true","6","127","32","true"
"7","207","42.5","true","7","79","24","true","7","0","53","true","7","121","32","true"
"8","233","42.5","true","8","75","24","true","8","0","53","true","8","129","32","true"
"9","233","42.5","true","9","69","24","true","9","0","53","true","9","113","32","true"
"10","223","42.5","true","10","74","24","true","10","0","53","true","10","134","32","true"
"11","213","42.5","true","11","77","24","true","11","0","53","true","11","119","32","true"
"12","251","42.5","true","12","70","24","true","12","0","53","true","12","130","32","true"
"13","206","42.5","true","13","65","24","true","13","0","53","true","13","85","32","true"
"14","144","42.5","true","14","68","24","true","14","0","53","true","14","68","32","true"
"15","168","42.5","true","15","67","24","true","15","0","53","true","15","95","32","true"
"16","205","42.5","true","16","71","24","true","16","0","53","true","16","127","32","true"
"17","207","42.5","true","17","79","24","true","17","0","53","true","17","121","32","true"
"18","233","42.5","true","18","75","24","true","18","0","53","true","18","129","32","true"
"19","233","42.5","true","19","69","24","true","19","0","53","true","19","113","32","true"
"20","223","42.5","true","20","74","24","true","20","0","53","true","20","134","32","true"
"21","213","42.5","true","21","77","24","true","21","0","53","true","21","119","32","true"
"22","251","42.5","true","22","70","24","true","22","0","53","true","22","130","32","true"
"23","206","42.5","true","23","65","24","true","23","0","53","true","23","85","32","true"
"24","144","42.5","true","24","68","24","true","24","0","53","true","24","68","32","true"
"25","168","42.5","true","25","67","24","true","25","0","53","true","25","95","32","true"
"26","205","42.5","true","26","71","24","true","26","0","53","true","26","127","32","true"
"27","207","42.5","true","27","79","24","true","27","0","53","true","27","121","32","true"
"28","233","42.5","true","28","75","24","true","28","0","53","true","28","129","32","true"
"29","233","42.5","true","29","69","24","true","29","0","53","true","29","113","32","true"
"30","223","42.5","true","30","74","24","true","30","0","53","true","30","134","32","true"
"31","213","42.5","true","31","77","24","true","31","0","53","true","31","119","32","true"
"32","251","42.5","true","32","70","24","true","32","0","53","true","32","130","32","true"
"33","206","42.5","true","33","65","24","true","33","0","53","true","33","85","32","true"
"34","144","42.5","true","34","68","24","true","34","0","53","true","34","68","32","true"
"35","168","42.5","true","35","67","24","true","35","0","53","true","35","95","32","true"
"36","205","42.5","true","36","71","24","true","36","0","53","true","36","127","32","true"
"37","207","42.5","true","37","79","24","true","37","0","53","true","37","121","32","true"
"38","233","42.5","true","38","75","24","true","38","0","53","true","38","129","32","true"
"39","233","42.5","true","39","69","24","true","39","0","53","true","39","113","32","true"
"40","223","42.5","true","40","74","24","true","40","0","53","true","40","134","32","true"
"41","213","42.5","true","41","77","24","true","41","0","53","true","41","119","32","true"
"42","251","42.5","true","42","70","24","true","42","0","53","true","42","130","32","true"
"43","206","42.5","true","43","65","24","true","43","0","53","true","43","85","32","true"
"44","144","42.5","true","44","68","24","true","44","0","53","true","44","68","32","true"
"45","168","42.5","true","45","67","24","true","45","0","53","true","45","95","32","true"
"46","205","42.5","true","46","71","24","true","46","0","53","true","46","127","32","true"
"47","207","42.5","true","47","79","24","true","47","0","53","true","47","121","32","true"
"48","233","42.5","true","48","75","24","true","48","0","53","true","48","129","32","true"
"49","233","42.5","true","49","69","24","true","49","0","53","true","49","113","32","true"
"50","223","42.5","true","50","74","24","true","50","0","53","true","50","134","32","true"
"51","213","42.5","true","51","77","24","true","51","0","53","true","51","119","32","true"
"52","251","42.5","true","52","70","24","true","52","0","53","true","52","130","32","true"
"53","206","42.5","true","53","65","24","true","53","0","53","true","53","85","32","true"
"54","144","42.5","true","54","68","24","true","54","0","53","true","54","68","32","true"
"55","168","42.5","true","55","67","24","true","55","0","53","true","55","95","32","true"
"56","32","42.5","true","56","4","24","true","56","0","53","true","56","57","32","true"
"57","123","42.5","true","57","8","24","true","57","0","53","true","57","90","32","true"
"58","132","42.5","true","58","53","24","true","58","0","53","true","58","109","32","true"
"59","140","42.5","true","59","40","24","true","59","0","53","true","59","88","32","true"
"60","127","42.5","true","60","11","24","true","60","0","53","true","60","64","32","true"
"61","41","42.5","true","61","63","24","true","61","0","53","true","61","50","32","true"
"62","125","42.5","true","62","31","24","true","62","0","53","true","62","64","32","true"
"63","45","42.5","true","63","10","24","true","63","0","53","true","63","19","32","true"
"64","14","42.5","true","64","25","24","true","64","0","53","true","64","11","32","true"
"65","23","42.5","true","65","8","24","true","65","0","53","true","65","19","32","true"
"66","32","42.5","true","66","4","24","true","66","0","53","true","66","57","32","true"
"67","123","42.5","true","67","8","24","true","67","0","53","true","67","90","32","true"
"68","132","42.5","true","68","53","24","true","68","0","53","true","68","109","32","true"
"69","140","42.5","true","69","40","24","true","69","0","53","true","69","88","32","true"
"70","127","42.5","true","70","11","24","true","70","0","53","true","70","64","32","true"
"71","41","42.5","true","71","63","24","true","71","0","53","true","71","50","32","true"
"72","125","42.5","true","72","31","24","true","72","0","53","true","72","64","32","true"
"73","45","42.5","true","73","10","24","true","73","0","53","true","73","19","32","true"
"74","14","42.5","true","74","25","24","true","74","0","53","true","74","11","32","true"
"75","23","42.5","true","75","8","24","true","75","0","53","true","75","19","32","true"
"76","32","42.5","true","76","4","24","true","76","0","53","true","76","57","32","true"
"77","123","42.5","true","77","8","24","true","77","0","53","true","77","90","32","true"
"78","132","42.5","true","78","53","24","true","78","0","53","true","78","109","32","true"
"79","140","42.5","true","79","40","24","true","79","0","53","true","79","88","32","true"
"80","127","42.5","true","80","11","24","true","80","0","53","true","80","64","32","true"
"81","41","42.5","true","81","63","24","true","81","0","53","true","81","50","32","true"
"82","125","42.5","true","82","31","24","true","82","0","53","true","82","64","32","true"
"83","45","42.5","true","83","10","24","true","83","0","53","true","83","19","32","true"
"84","14","42.5","true","84","25","24","true","84","0","53","true","84","11","32","true"
"85","168","42.5","true","85","67","24","true","85","0","53","true","85","95","32","true"
"86","205","42.5","true","86","71","24","true","86","0","53","true","86","127","32","true"
"87","207","42.5","true","87","79","24","true","87","0","53","true","87","121","32","true"
"88","233","42.5","true","88","75","24","true","88","0","53","true","88","129","32","true"
"89","233","42.5","true","89","69","24","true","89","0","53","true","89","113","32","true"
"""Farm Energy Production"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","32400","true","""Wind        ""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Wind        ""","true","0","1","104","89"
"""Solar ""","true","0","1","14","89"
"""0 MWh""","true","2","1","13","89"

"""Wind        """,,,,"""Solar """,,,,"""0 MWh"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","104","true","0","0","14","true","0","0","13","true"
"1","29433.6","104","true","1","5840","14","true","1","0","13","true"
"2","29433.6","104","true","2","5781.6","14","true","2","0","13","true"
"3","29433.6","104","true","3","5723.784000000001","14","true","3","0","13","true"
"4","29433.6","104","true","4","5666.546160000001","14","true","4","0","13","true"
